X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
O=CC(Br)(Br)Br,0.4480100768694555,277.757750952,0.5,1,0,0,4,6,0,0,17.07,0.4901152146145781,2.0237999999999996,4.893798971139463,0,0,0,0,0,0,0,0,0
O=C(OCC(Br)(Br)Br)c1ccco1,-0.5999905568674081,373.77888032000004,0.2857142857142857,3,0,1,6,13,2,0,39.44,0.587147224563308,3.2749000000000015,5.950427733684223,0,0,0,0,1,1,0,0,0
BrC(Br)(Br)c1ccc2ccccc2n1,-1.2509889580554003,376.8050354920002,0.1,1,0,2,4,14,0,0,12.89,0.6127181367304898,4.5298000000000025,6.412859686794152,0,0,0,1,1,2,0,0,0
BrC(Br)Br,-0.5669887335184889,249.762836332,1.0,0,0,0,3,4,0,0,0.0,0.5812778100557083,2.4547,4.637952997672978,0,0,0,0,0,0,0,0,0
N#CC(Br)Br,-0.09099233004130033,196.847573232,0.5,1,0,0,3,5,0,0,23.79,0.5433359319399053,1.62588,4.612420489114563,0,0,0,0,0,0,0,0,0
BrC(Br)C(Br)Br,-0.5409885613297891,341.68899846400006,1.0,0,0,0,4,6,1,0,0.0,0.6402410067492498,3.2182000000000004,5.298510578859934,0,0,0,0,0,0,0,0,0
BrC12CC3CC(CC(C3)C1)C2,-1.5949699500875807,214.03571258,1.0,0,0,4,1,11,0,0,0.0,0.5433561866162948,3.350100000000002,7.816110463412415,4,0,4,0,0,0,4,0,4
N=C1C=NN(c2ccccc2)C(=O)C1Br,-1.5039963190994343,264.9850739760002,0.1,4,1,2,5,15,1,0,56.52,0.7740311656867139,1.80227,7.337899688743258,0,1,1,1,0,1,0,0,0
O=C1C2C3CC(C(Br)C3Br)C2C(=O)N1CCN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O,-1.1725724412150158,667.8156555200006,0.8,6,0,6,10,30,3,0,74.76,0.34184728987053203,2.5422000000000002,8.613404509536357,4,2,6,0,0,0,4,2,6
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,-1.1926448939977043,635.6508731760006,1.0,0,0,1,6,18,0,0,0.0,0.2522005601980671,6.921600000000004,7.758821698578175,1,0,1,0,0,0,1,0,1
BrC1CCCCC1,-1.2347815968483955,162.004412452,1.0,0,0,1,1,7,0,0,0.0,0.4813482750185788,2.7140000000000004,7.875095547072166,1,0,1,0,0,0,1,0,1
BrC1CCCCCC1(Br)C1CCCCCC1,0.08262902837947592,350.0244749680007,1.0,0,0,2,2,16,1,0,0.0,0.4121896909015828,5.818100000000004,8.009205311266845,2,0,2,0,0,0,2,0,2
O=S1(=O)CCC(Br)C1,-0.03299517333085021,197.935012564,1.0,2,0,1,4,8,0,0,34.14,0.534179880507229,0.5684000000000001,7.3588383875254735,0,1,1,0,0,0,0,1,1
C=CBr,-0.6699874919988517,105.941812196,0.0,0,0,0,1,3,0,0,0.0,0.4398237132310551,1.5248,7.293153033493262,0,0,0,0,0,0,0,0,0
C#CCBr,0.35101314151594176,117.941812196,0.3333333333333333,0,0,0,1,4,0,0,0.0,0.32945959843420136,1.0145,6.968803677021816,0,0,0,0,0,0,0,0,0
O=C(CBr)OC#CCCOC(=O)CBr,0.08593662690685094,325.87893293600024,0.5,4,0,0,6,14,4,0,52.6,0.33699113907769535,1.2136,6.305715664879065,0,0,0,0,0,0,0,0,0
BrCC(Br)C1CCC(Br)C(Br)C1,-0.8769874969988516,423.76724878400034,1.0,0,0,1,4,12,2,0,0.0,0.5703564432818184,4.471900000000002,7.497492354406226,1,0,1,0,0,0,1,0,1
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,-0.06498947763022994,691.5808181900004,1.0,4,0,0,11,20,12,0,44.760000000000005,0.1964853923812012,5.619500000000003,7.882302698350075,0,0,0,0,0,0,0,0,0
O=C1OC(CBr)CC12CC(CBr)OC2=O,-1.1649127186081478,339.8945830000002,0.7777777777777778,4,0,2,6,15,2,0,52.60000000000001,0.43252011133852686,1.3935999999999997,7.809152210856643,0,2,2,0,0,0,0,2,2
C=CCBr,-0.07010177916639324,119.95746226,0.3333333333333333,0,0,0,1,4,1,0,0.0,0.364463143017738,1.5673,7.620715919313469,0,0,0,0,0,0,0,0,0
BrCCBr,0.2169709051757826,185.867974328,1.0,0,0,0,2,4,1,0,0.0,0.5496400415990373,1.7762,6.631764877502467,0,0,0,0,0,0,0,0,0
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.2090067392210835,353.9578519520005,0.8,4,0,1,6,16,4,0,40.620000000000005,0.7114345138310305,1.2272,7.135941084387646,0,1,1,0,0,0,0,1,1
BrCCCBr,-0.5415336716911474,199.883624392,1.0,0,0,0,2,5,2,0,0.0,0.6014232508173057,2.1663000000000006,7.145422777900355,0,0,0,0,0,0,0,0,0
BrCCCCBr,-0.32277440220609094,213.899274456,1.0,0,0,0,2,6,3,0,0.0,0.5018013797927912,2.556400000000001,7.235132911037419,0,0,0,0,0,0,0,0,0
