X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
[O-]c1c2c(nn1-c1ccc(Cl)cc1)c1ccccc1c[n+]2Cc1ccccc1,4.5,385.09818981200044,0.043478260869565216,4,0,5,5,28,3,0,44.760000000000005,0.4358819566384072,4.241500000000003,7.613635653519359,0,0,0,3,2,5,0,0,0
CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2nc(N)sc12,4.5,407.12498054400066,0.3888888888888889,6,4,3,9,27,12,0,96.95,0.384549969766432,3.918800000000002,6.349226840280206,0,0,0,1,2,3,0,0,0
O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,4.5,481.0394182240003,0.29411764705882354,4,1,2,14,31,6,0,57.61,0.6273492760718253,4.756400000000002,6.506232267789671,0,0,0,2,0,2,0,0,0
CN(C)CCNc1cc(-c2ccccc2)nc2cc(-c3ccc(F)cc3)nn12,4.5,375.1859239240006,0.18181818181818182,5,1,4,6,28,8,0,45.459999999999994,0.549249965167335,4.175900000000003,7.917951237228506,0,0,0,2,2,4,0,0,0
CCSc1c(Cc2ccccc2C(F)(F)F)sc2c1c(=O)n(C)c(=O)n2CC(C)C,4.49,456.11530463600064,0.42857142857142855,4,0,3,9,30,10,0,44.0,0.48269218310396816,5.139300000000004,7.597679020307215,0,0,0,1,2,3,0,0,0
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,4.49,527.289640044001,0.3548387096774194,8,2,5,8,39,8,0,80.65,0.308784286641935,5.986420000000006,8.06073510949527,0,1,1,3,1,4,0,1,1
Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,4.49,539.1412328320008,0.48,7,0,4,10,35,7,0,70.16000000000001,0.5311505373372704,5.050120000000005,7.388433551544923,0,2,2,2,0,2,0,2,2
CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,4.48,366.18444670400066,0.16666666666666666,4,2,5,4,28,6,0,57.36,0.42714889519244037,5.569200000000005,7.662746682214819,0,0,0,3,2,5,0,0,0
COc1ccc(OC)c(-c2cccc3c(N)c(C(=O)NC4(C)CCC4)nnc23)c1,4.48,392.18484062800064,0.3181818181818182,7,3,4,7,29,9,0,99.36000000000001,0.6886102220244272,3.5686000000000018,7.903947834778604,1,0,1,2,1,3,1,0,1
Cc1oc(S(C)(=O)=O)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1cn(C)c2ccc(Cl)cc12,4.48,555.1343176120007,0.34615384615384615,10,0,6,12,38,10,0,114.03,0.31682408111690524,3.4720200000000014,7.8351272165143255,1,0,1,1,4,5,1,0,1
O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)n1c(=O)[nH]c2ccccc21,4.46,478.1174606080006,0.36363636363636365,8,3,4,10,32,7,0,99.59,0.5048706815311678,3.0984000000000016,7.355306315725757,0,1,1,2,1,3,0,1,1
COc1ccccc1C(=O)NCC12CC3CC(CC(C3)C1)C2,4.43,299.18852904000073,0.631578947368421,3,1,5,3,22,5,0,38.33,0.9214885031937676,3.6414000000000026,8.337846886927954,4,0,4,1,0,1,4,0,4
CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,4.42,369.2052417240008,0.47619047619047616,6,0,3,6,27,9,0,64.55000000000001,0.6943616403938637,3.6472200000000026,6.574241750703553,0,1,1,1,1,2,0,1,1
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC(C)C)c(Cc3ccccc3C(F)(F)F)sc21,4.42,470.13095470000076,0.45454545454545453,4,0,3,9,31,11,0,44.0,0.4452766958346815,5.527800000000005,7.804231412204854,0,0,0,1,2,3,0,0,0
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,4.42,458.2481898320009,0.32142857142857145,5,1,5,6,34,9,0,42.32,0.3864771407563315,5.351300000000005,7.670610360487273,0,1,1,3,1,4,0,1,1
CC(C)Cn1c(=O)n(C)c(=O)c2cn(Cc3cccc4ccccc34)cc21,4.41,361.1790269760006,0.2727272727272727,5,0,4,5,27,7,0,48.93,0.5595809976865266,3.3592000000000013,7.928076486895375,0,0,0,2,2,4,0,0,0
O=C(Oc1ccccc1O)c1cccc2ccccc12,4.4,264.07864424400026,0.0,3,1,3,3,20,3,0,46.53,0.5658834329489507,3.7646000000000024,7.063499462507151,0,0,0,3,0,3,0,0,0
CC#Cc1ccnc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,4.4,476.2012396400007,0.16666666666666666,5,2,5,6,36,6,0,73.27,0.43182910264536145,4.759920000000004,7.359386959561515,0,1,1,2,2,4,0,0,0
CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C,4.4,516.2096733840007,0.36,9,2,4,12,37,10,0,101.5,0.4330846805022328,4.966220000000004,5.948353118723555,0,1,1,2,1,3,0,1,1
O=C(NCC1CCOCC1)c1ncccc1NC(=O)c1cccc2ccccc12,4.4,389.17394159600065,0.2608695652173913,6,2,4,6,29,5,0,80.32000000000001,0.6981177052182128,3.643500000000003,5.41140124922007,0,1,1,2,1,3,0,1,1
COc1ccc(Cl)c(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1,4.39,333.14955668800064,0.631578947368421,3,1,5,4,23,5,0,38.33,0.891973862325481,4.294800000000003,8.190339850347812,4,0,4,1,0,1,4,0,4
O=S(=O)(Nc1ccc2[nH]c(-c3ccc(Br)o3)nc2c1)c1ccccc1,4.38,416.97827434400034,0.0,6,2,4,8,25,4,0,87.99000000000001,0.514823688455649,4.386200000000002,6.886951271542773,0,0,0,2,2,4,0,0,0
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(NC3CC3)sc12,4.37,423.0999086680006,0.3888888888888889,6,3,4,10,28,10,0,82.96000000000001,0.37275593823723496,4.023800000000003,7.748144515848789,1,0,1,1,2,3,1,0,1
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(Cl)c1Cl,4.37,337.1000196520006,0.6111111111111112,2,1,5,4,22,3,0,29.1,0.8309425178048249,4.939600000000004,7.923386716748369,4,0,4,1,0,1,4,0,4
O=C(NC1CCCC1)C(c1ccncc1)N(Cc1ccco1)C(=O)c1ccc(-c2ccccc2)[nH]1,4.36,468.21614075600087,0.25,7,2,5,7,35,8,0,91.23,0.3758408609790953,5.112200000000004,8.022100287169495,1,0,1,1,3,4,1,0,1
CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)n(Cc3cccc4ccccc34)cc21,4.36,451.19296278800084,0.36,6,1,4,7,32,12,0,69.16,0.3265230134947203,3.833700000000002,7.125176444805657,0,0,0,2,2,4,0,0,0
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccncc2)c1,4.35,548.3515120280013,0.4444444444444444,5,2,6,5,41,14,0,61.02,0.21727099422744744,7.213540000000008,9.007581440023207,0,2,2,2,2,4,0,2,2
Cc1cc(C#N)oc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,4.34,500.13636621200055,0.2692307692307692,9,0,6,10,36,7,0,111.63999999999999,0.3603805197577946,3.9967000000000024,7.432756222413978,1,0,1,1,4,5,1,0,1
Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,4.33,515.1836507520007,0.37037037037037035,9,0,7,10,37,8,0,92.53000000000002,0.3282754205822215,3.8301000000000025,7.972252475847843,2,0,2,1,4,5,2,0,2
CCOc1ccc2oc(C(=O)NC(CCSC)c3nc4cnccc4[nH]3)c(C)c2c1,4.31,424.1569116280007,0.3181818181818182,7,2,4,8,30,11,0,93.03999999999999,0.42815773674056196,4.635420000000003,6.9949219395677975,0,0,0,1,3,4,0,0,0
C(#Cc1n[nH]c2ccccc12)c1ccccc1,4.31,218.08439832,0.0,2,1,3,2,17,0,0,28.68,0.5772710925022458,2.9627000000000008,7.077802451545497,0,0,0,2,1,3,0,0,0
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.31,407.16430342800066,0.42857142857142855,3,0,4,7,28,5,0,9.72,0.7094782580960448,4.945600000000004,7.995544598108711,0,2,2,2,0,2,0,1,1
CCN(C(=O)NCc1c(F)cccc1F)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4.3,491.274819180001,0.36666666666666664,4,1,4,6,36,10,0,35.58,0.3878367175590027,6.182900000000007,8.007376759922323,0,1,1,3,0,3,0,1,1
CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc2[nH]c(=O)sc12,4.3,404.13406800800067,0.42105263157894735,6,3,3,8,27,12,0,90.9,0.38749828946977677,4.051800000000002,7.731683877311856,0,0,0,1,2,3,0,0,0
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCNCCCCc2ccncc2)c1,4.3,562.3671620920013,0.4594594594594595,5,2,6,5,42,15,0,61.02,0.18691193323618863,7.432740000000008,8.87867794027056,0,2,2,2,2,4,0,2,2
Oc1ccc(Br)c2ccccc12,4.3,221.968026944,0.0,1,1,2,2,12,1,0,20.23,0.7258263717042706,3.307900000000002,6.785048629552774,0,0,0,2,0,2,0,0,0
CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3ccncc3)n(Cc3cccc4ccccc34)nc21,4.3,439.2008250400007,0.23076923076923078,7,0,5,7,33,8,0,74.71000000000001,0.4173217385495793,3.816200000000002,7.983469956394585,0,0,0,2,3,5,0,0,0
Clc1cccc(-c2cnc3ccc(NC4CCOCC4)nn23)c1,4.3,328.1090888440005,0.29411764705882354,5,1,4,6,23,3,0,51.45,0.7971860335919992,3.640600000000002,7.553607151465605,0,1,1,1,2,3,0,1,1
COc1ncc(-c2cccc3c2C[C@H](NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)cn1,4.3,460.13583974800054,0.2727272727272727,8,1,4,11,33,7,0,95.46000000000001,0.6035776875401769,3.221800000000001,7.887009990267003,0,1,1,1,2,3,0,0,0
COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccc3c(c2)OCO3)c(OC)c1,4.3,441.2151377120008,0.48,7,1,4,7,32,11,0,77.46000000000001,0.7252653657310503,4.164600000000004,8.381196623942753,0,2,2,2,0,2,0,1,1
CC(C)(C)c1ccc(-c2n[nH]c(NC(=O)c3ccccc3Cl)c2Br)cc1,4.3,431.04000200800056,0.2,4,2,3,6,26,3,0,57.78,0.5296600742615604,6.042400000000002,7.6134810923749985,0,0,0,2,1,3,0,0,0
Cc1ccc(Oc2ccc(OCC(=O)Nc3ccncc3)cc2)cc1,4.3,334.13174243600054,0.1,5,1,3,5,25,7,0,60.45,0.733768152977421,4.199820000000002,7.602293473753518,0,0,0,2,1,3,0,0,0
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.3,720.3127606360013,0.43243243243243246,11,4,4,13,50,23,0,145.77999999999997,0.10624046585910327,5.905200000000005,9.08740048797808,0,0,0,2,2,4,0,0,0
O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccc(C(F)(F)F)cc1,4.29,426.15888370000073,0.42857142857142855,4,1,3,8,29,6,0,49.410000000000004,0.7344853827802006,4.601000000000004,7.381146650382392,0,1,1,2,0,2,0,1,1
COc1cccc(NC(=O)c2cccc(Cc3c(C)nn(CCO)c3-c3ccccc3)c2)c1,4.29,441.20524172400076,0.18518518518518517,6,2,4,6,33,11,0,76.38,0.4154859562918748,4.702520000000003,6.976862583029991,0,0,0,3,1,4,0,0,0
c1ccc(N2CC3COc4ccccc4C3=N2)cc1,4.28,250.110613068,0.1875,3,0,4,3,19,1,0,24.83,0.777050949195436,2.919500000000001,7.990649817674945,0,2,2,2,0,2,0,0,0
Cc1ccccc1C(=O)NCC12CC3CC(CC(C3)C1)C2,4.28,283.1936144200007,0.631578947368421,2,1,5,2,21,4,0,29.1,0.8940980372939549,3.941220000000003,8.356305374024435,4,0,4,1,0,1,4,0,4
