X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
CC=C(C)C(=O)NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3cccc(N=[N+]=[N-])c3)C3C4(OC(C)=O)COC4CC(OC(=O)CC(F)(F)F)C3(C)C(=O)C(O)C(=C1C)C2(C)C,2.477121255,940.3353869720014,0.5217391304347826,18,4,6,21,67,22,0,270.05,0.04022113226149211,5.2624000000000075,9.525991416067,3,1,4,2,0,2,2,1,3
Cc1cccc(C)c1OCC(C)N,2.449940989,179.131014164,0.45454545454545453,2,2,1,2,13,7,0,35.25,0.7701737793320904,2.02944,6.823883120225357,0,0,0,1,0,1,0,0,0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,2.431363764,416.25358888400086,0.6190476190476191,9,0,3,9,30,12,0,85.49000000000001,0.6140453744926114,1.3839000000000006,7.561590055383024,0,1,1,1,1,2,0,1,1
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)NC)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,2.40654018,887.3589013760015,0.5111111111111111,19,5,6,19,64,22,0,282.08,0.04038483462344372,4.1228000000000025,9.551060933980851,3,1,4,2,0,2,2,1,3
COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,2.397244581,370.29841383600103,0.75,3,0,4,3,27,7,0,15.71,0.7120920172018399,4.845600000000005,8.499429382317594,2,1,3,1,0,1,1,1,2
C=CCc1ccccc1OCC(O)CNC(C)C,2.380211242,249.172878976,0.4666666666666667,3,2,1,3,18,11,0,41.489999999999995,0.6936807740895572,2.1528,7.936961264766528,0,0,0,1,0,1,0,0,0
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,2.342422681,360.1128368320006,0.3,4,0,2,5,25,10,0,52.6,0.5540618915195044,4.680000000000004,7.597903450519961,0,0,0,2,0,2,0,0,0
Cc1cc(=O)n(-c2ccccc2)n1C,2.33243846,188.094963004,0.18181818181818182,3,0,2,3,14,3,0,26.93,0.6656235641878139,1.4844199999999999,7.317710909582004,0,0,0,1,1,2,0,0,0
C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.230448921,534.1501880720006,0.391304347826087,7,2,4,14,37,7,0,83.24000000000001,0.43762531180471914,4.952100000000004,7.1608559637411595,0,1,1,2,1,3,0,1,1
COc1ccc2c(c1)C(=CCCN1CCc3cc(OC)c(OC)cc3C1)CCC2,2.220892249,393.2303938520008,0.44,4,0,4,4,29,9,0,30.930000000000003,0.6998377450634145,4.880500000000005,7.462357101842606,1,1,2,2,0,2,0,0,0
C[S@](=O)CCCCN=C=S,2.149219113,177.028205972,0.8333333333333334,2,0,0,4,10,6,0,29.43,0.3591583792833982,1.2479,7.986124845197682,0,0,0,0,0,0,0,0,0
CC=C(C)C(=O)NC(c1ccccc1)C(O)C(=O)OC1CC2(O)C(OC(=O)c3cccc(N=[N+]=[N-])c3)C3C4(OC(C)=O)COC4CC(OC(=O)CNC(=O)OC(C)(C)C)C3(C)C(=O)C(O)C(=C1C)C2(C)C,2.089905111,987.4113308720018,0.54,21,5,6,21,71,23,0,308.38,0.034121099169484345,4.834700000000006,9.670701048656367,3,1,4,2,0,2,2,1,3
O=C(O)CCCCCCCC(=O)O,2.079181246,188.104858992,0.7777777777777778,4,2,0,4,13,8,0,74.6,0.5701815945486012,1.8863,7.429102130258473,0,0,0,0,0,0,0,0,0
O=C(O)CCc1ccc(C#Cc2cc(Cl)nc(Cl)c2)cc1,2.049218023,319.0166839520003,0.125,3,1,2,5,21,3,0,50.19,0.6910545549430007,3.8054000000000023,6.625642230200816,0,0,0,1,1,2,0,0,0
Cl.O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CC2)CC1,2.033423755,365.18700481600075,0.631578947368421,5,0,4,6,25,4,0,36.02000000000001,0.8156589273434621,1.8607999999999998,7.0972276499170945,1,2,3,1,0,1,1,2,3
c1ccc(Cn2nnnc2C(c2ccc(-n3cncn3)cc2)N2CCCN(C3CCC3)CC2)cc1,2.017033339,469.27024199200093,0.4230769230769231,9,0,6,9,35,7,0,80.79,0.411633682171468,2.9517000000000015,8.131301814996208,1,1,2,2,2,4,1,1,2
CC(=O)N[C@@H](C(=O)NCCc1ccccc1)C(C)C,1.986771734,262.16812794400016,0.4666666666666667,4,2,1,4,19,9,0,58.2,0.8160845917743486,1.5059999999999993,7.523629109419187,0,0,0,1,0,1,0,0,0
CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,1.973127854,391.1895916600007,0.34782608695652173,6,1,4,6,29,7,0,75.44,0.708814095009151,4.152500000000003,7.726310600752383,1,0,1,2,1,3,1,0,1
N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,1.959041392,289.11027872000045,0.15789473684210525,3,1,2,3,22,4,0,61.089999999999996,0.8793624673145345,3.1696800000000014,7.337308564914295,0,0,0,2,0,2,0,0,0
COCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CCCN2C)c1.O=C(O)C(F)(F)F,1.958563883,404.1922920040007,0.6842105263157895,6,1,3,9,28,9,0,71.89000000000001,0.7517592001272633,3.3279000000000014,8.170078198252227,1,1,2,0,1,1,1,1,2
C=CCn1c(=O)c2cccnc2n(CC=C)c1=O,1.957607287,243.100776656,0.15384615384615385,5,0,2,5,18,4,0,56.89,0.7505304140088344,0.9301999999999998,6.989926188809498,0,0,0,0,2,2,0,0,0
COc1cccc(OC)c1C(=O)/C=C/c1ccco1,1.95568775,258.08920892800006,0.13333333333333333,4,0,2,4,19,7,0,48.67,0.6100961614785964,3.1929000000000016,7.2794608256179,0,0,0,1,1,2,0,0,0
CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,1.944482672,353.1009542240005,0.3125,5,2,2,8,24,4,0,71.09,0.8710491470817985,4.048300000000003,7.2159164586188655,0,0,0,1,1,2,0,0,0
Cc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,1.939519253,264.1150297520002,0.16666666666666666,2,1,2,2,20,4,0,37.3,0.8625054858482513,3.412020000000002,7.508576044374545,0,0,0,2,0,2,0,0,0
COc1cc2c(cc1OC)CN(CCCC1CCCc3cc(OC)c(OC)cc31)CC2,1.938519725,425.25660860000096,0.5384615384615384,5,0,4,5,31,12,0,40.160000000000004,0.5965773270074284,4.979400000000005,8.100598256343963,1,1,2,2,0,2,0,0,0
O=C1c2ccccc2-n2c1nc1c(c2=O)CCCC1,1.931457871,252.089877624,0.26666666666666666,4,0,4,4,19,0,0,51.96,0.611064096163269,1.6557,6.706515193378444,1,1,2,1,1,2,0,0,0
O=C(N[C@@H]1CCC[C@H](c2nc3ccccc3[nH]2)C1)c1ccc2c(c1)OCCO2,1.929418926,377.1739415960006,0.36363636363636365,6,2,5,6,28,3,0,76.24000000000001,0.7280903876102468,3.790300000000002,7.7348156960545,1,1,2,2,1,3,1,0,1
CN(C)C1CCN(C(=O)c2ccc(Cn3c(-c4ccccc4)nc4ccccc43)cc2)C1,1.92890769,424.2263115160008,0.25925925925925924,5,0,5,5,32,7,0,41.370000000000005,0.4727579602445239,4.527700000000004,7.798943000594671,0,1,1,3,1,4,0,1,1
C=C1c2ccccc2C(=O)N(C)c2ccc(O)cc21,1.925827575,251.094628656,0.0625,3,1,3,3,19,2,0,40.540000000000006,0.7814121381771885,3.043700000000001,7.209472061345281,0,1,1,2,0,2,0,0,0
Nc1c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)cnc2ccnn12,1.924279286,350.17427594400056,0.35,6,3,4,6,26,5,0,93.51,0.7476597360383099,3.727000000000002,5.4278955569297835,1,0,1,1,2,3,1,0,1
COc1ccc2c(c1)CCCC2CCCN1CCc2cc(OC)c(OC)cc2C1,1.918030337,395.24604391600093,0.52,4,0,4,4,29,10,0,30.930000000000003,0.6622050032378586,4.970800000000005,8.142644096445828,1,1,2,2,0,2,0,0,0
Cc1c2c(=O)n(-c3ccccc3)[nH]c2cc(=O)n1Cc1cccnc1,1.898725182,332.12732575200044,0.10526315789473684,6,1,4,6,25,4,0,72.68,0.6251762650183144,2.23222,7.355364758554225,0,0,0,1,3,4,0,0,0
O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(COC4)C3)cc2)C1,1.897627091,432.17975524800073,0.375,8,0,6,8,32,6,0,80.93,0.591933511316075,2.4722,7.023009060120049,0,3,3,2,1,3,0,3,3
O=c1c2c(COCc3ccccc3)n(Cc3cnccn3)c(=O)cc2[nH]n1-c1ccccc1Cl,1.895422546,473.1254671800005,0.12,8,1,5,9,34,7,0,94.8,0.38877038681707554,3.689000000000002,7.714343446359715,0,0,0,2,3,5,0,0,0
O=C(c1ccc(Oc2ccc(F)cc2)nc1)N1CCCN(C2CCC2)CC1,1.892094603,369.18525522800064,0.42857142857142855,5,0,4,6,27,4,0,45.67,0.8241674025548064,3.7134000000000027,5.110378187199641,1,1,2,1,1,2,1,1,2
COc1cc2c(cc1OC)CN(Cc1ccc(-c3ccccc3)cc1)CC2,1.890421019,359.1885290400007,0.25,3,0,4,3,27,7,0,21.700000000000003,0.6447026353190073,4.9291000000000045,6.1314068302206275,0,1,1,3,0,3,0,0,0
COc1cc2c(cc1OC)CN(CCC=C1CCCCC1)CC2,1.888740961,315.2198291680008,0.6,3,0,3,3,23,7,0,21.700000000000003,0.7543949605476519,4.342500000000004,7.355941697901379,1,1,2,1,0,1,1,0,1
Oc1noc2cc(Cl)ccc12,1.886490725,168.993056048,0.0,3,1,2,4,11,1,0,46.260000000000005,0.6576986220466415,2.1868,5.827620426496224,0,0,0,1,1,2,0,0,0
N#Cc1cccc(Oc2ccc(C(=O)N3CCCN(C4CCC4)CC3)cn2)c1,1.886490725,376.1899260080007,0.4090909090909091,6,0,4,6,28,4,0,69.46000000000001,0.81745041197314,3.4459800000000023,3.2440469963601544,1,1,2,1,1,2,1,1,2
Cc1cc(C(F)(F)F)c(-c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)OCC3CCOC3)cc2)c(=O)n1C,1.883093359,610.1249119840006,0.3448275862068966,7,1,4,12,41,10,0,86.63000000000001,0.3352064620515784,5.607120000000005,7.642502421040049,0,1,1,2,1,3,0,1,1
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,1.881954971,300.06338810400035,0.0625,6,3,3,6,22,6,0,100.13000000000001,0.6723108130019759,2.5854,6.893648853875048,0,0,0,2,1,3,0,0,0
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCC(=O)N[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,1.880813592,1033.428043556002,0.48,24,15,7,24,74,29,0,385.12000000000006,0.038268325543606964,-3.6473999999999935,9.636080742442733,0,3,3,3,1,4,0,3,3
O=C1c2cc(Cl)ccc2-n2c1nc1ncccc1c2=O,1.868056362,283.0148541120002,0.0,5,0,4,6,20,0,0,64.85,0.49486400231702826,1.9784999999999993,5.523205409196102,0,1,1,1,2,3,0,0,0
O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc1ccccc1,1.86569606,336.1473925000006,0.25,5,0,3,5,25,6,0,57.690000000000005,0.7621667554262171,2.652700000000001,7.4876434472692885,0,1,1,2,0,2,0,1,1
C[C@@H]1c2nnc(-c3ccccn3)n2CCN1C(=O)c1cccc(Cl)c1Cl,1.86569606,387.0653654600004,0.2222222222222222,6,0,4,8,26,3,0,63.910000000000004,0.6688671079722058,3.8639000000000037,7.317106510792264,0,1,1,1,2,3,0,0,0
O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,1.861534411,481.9950395880004,0.1875,6,4,2,10,26,9,0,90.82,0.35996032896912883,2.4667000000000003,7.470393771509107,0,0,0,2,0,2,0,0,0
