X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,1.493167369,434.1615000680006,0.19047619047619047,10,3,5,11,32,7,0,118.24,0.4241744183457176,1.9006999999999994,6.399479308561096,1,0,1,0,4,4,1,0,1
CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,1.040780099,418.1816470680007,0.38095238095238093,7,2,3,9,30,12,0,89.27,0.5728694271793671,4.180900000000003,7.98766089332522,0,0,0,1,2,3,0,0,0
CN(c1ncc(F)cn1)[C@H]1CCCNC1,-0.358805917,210.12807469999998,0.6,4,1,2,5,15,3,0,41.050000000000004,0.7837400892146483,0.8038999999999998,4.985328036336833,0,1,1,0,1,1,0,1,1
CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,1.02666239,382.1084201480005,0.14285714285714285,5,3,3,6,27,8,0,85.44000000000001,0.6554929627688166,4.893200000000004,7.629513765098468,0,0,0,2,1,3,0,0,0
CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,1.010596548,450.1878753200007,0.4090909090909091,7,3,3,10,32,12,0,100.27000000000001,0.525312170603262,4.090800000000002,1.0,0,0,0,1,2,3,0,0,0
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,0.860625544,370.18050419600064,0.4,6,4,3,7,27,5,0,91.22,0.7230635014308044,2.1310400000000005,6.846928723416867,0,1,1,1,1,2,0,1,1
CC(C)NCC(O)COc1cccc2ccccc12,-0.162401489,259.1572289120001,0.375,3,2,2,3,19,9,0,41.489999999999995,0.8375057924076362,2.5775000000000006,7.642624129161196,0,0,0,2,0,2,0,0,0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.091561417,493.14381967600076,0.391304347826087,8,3,3,10,33,9,0,113.6,0.51917970894521,3.641700000000003,6.926613959594684,1,0,1,2,0,2,1,0,1
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,0.72516,440.1960740080007,0.2,8,2,5,8,33,6,0,99.16,0.4667032430058404,4.2173000000000025,7.19770034585112,0,1,1,2,2,4,0,1,1
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,1.301828955,452.1960740080007,0.15384615384615385,8,3,5,8,34,9,0,104.82,0.32700640037012135,4.820100000000003,4.738352931612937,0,0,0,3,2,5,0,0,0
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,2.305351369,371.1164437840005,0.375,9,1,4,10,26,6,0,120.55999999999999,0.7167032115900049,1.09568,7.39084706056005,0,1,1,0,3,3,0,1,1
COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,0.097722674,352.1820637560008,0.6666666666666666,5,0,3,6,24,6,0,49.85000000000001,0.8356642622952337,2.5802000000000005,7.016243349639691,0,2,2,1,0,1,0,2,2
CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,0.891865247,570.2339160600009,0.27586206896551724,13,3,6,13,42,12,0,155.68,0.2514867782064568,3.839000000000003,7.056492647035242,0,1,1,2,3,5,0,1,1
CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.79989303,554.3319997080011,0.7575757575757576,5,1,5,7,40,10,0,87.03,0.4100424722853117,6.729780000000008,9.019872526815236,5,0,5,0,0,0,3,0,3
Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,0.402661496,402.08074315600044,0.05555555555555555,7,4,4,10,28,6,0,101.74,0.4271167608646694,4.711020000000001,6.690669932632483,0,0,0,1,3,4,0,0,0
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,1.868344533,468.262422252001,0.5185185185185185,7,0,4,7,34,15,0,60.47000000000001,0.5333149482831275,3.3100000000000023,8.164566260030051,1,1,2,2,0,2,0,0,0
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,1.414640239,334.1429758160005,0.2631578947368421,6,2,4,6,25,4,0,85.17,0.768976962384502,2.639380000000001,7.615788153778757,0,1,1,1,2,3,0,1,1
CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,1.582757474,337.2014937360007,0.5555555555555556,7,0,5,7,25,6,0,64.14,0.7305102452454605,2.2504,7.889681817914808,1,1,2,0,3,3,1,0,1
Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,-0.329004434,263.0858755400002,0.0,3,1,4,4,20,1,0,41.57,0.5287702296851626,3.917200000000002,6.852881432932933,0,0,0,1,3,4,0,0,0
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,1.81723103,285.1589602280005,0.4,6,2,3,6,21,4,0,73.91,0.8451673485107614,1.9352999999999994,7.45496449506771,0,1,1,0,2,2,0,1,1
Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,1.600468919,389.17756473200063,0.5555555555555556,8,1,5,10,28,5,0,79.18,0.859027005444107,1.7884999999999995,8.27411647339657,1,2,3,0,2,2,1,2,3
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,2.05650206,425.2003168020006,0.3,11,3,4,11,31,10,0,135.95,0.49641291938995996,1.7324,7.665729924330844,1,0,1,1,2,3,1,0,1
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,1.393231611,429.2164751040007,0.24,7,3,4,7,32,8,0,93.37,0.5423982723266364,4.354600000000003,7.1742732745363,0,1,1,2,1,3,0,1,1
