X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,1.392169149,434.1615000680006,0.19047619047619047,10,3,5,11,32,7,0,118.24,0.4241744183457176,1.9006999999999994,6.399479308561096,1,0,1,0,4,4,1,0,1
CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,1.027920136,418.1816470680007,0.38095238095238093,7,2,3,9,30,12,0,89.27,0.5728694271793671,4.180900000000003,7.98766089332522,0,0,0,1,2,3,0,0,0
CN(c1ncc(F)cn1)[C@H]1CCCNC1,1.027920136,210.12807469999998,0.6,4,1,2,5,15,3,0,41.050000000000004,0.7837400892146483,0.8038999999999998,4.985328036336833,0,1,1,0,1,1,0,1,1
CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,1.027920136,382.1084201480005,0.14285714285714285,5,3,3,6,27,8,0,85.44000000000001,0.6554929627688166,4.893200000000004,7.629513765098468,0,0,0,2,1,3,0,0,0
CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,1.629093448,450.1878753200007,0.4090909090909091,7,3,3,10,32,12,0,100.27000000000001,0.525312170603262,4.090800000000002,1.0,0,0,0,1,2,3,0,0,0
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,2.376374361,370.18050419600064,0.4,6,4,3,7,27,5,0,91.22,0.7230635014308044,2.1310400000000005,6.846928723416867,0,1,1,1,1,2,0,1,1
CC(C)NCC(O)COc1cccc2ccccc12,3.318275952,259.1572289120001,0.375,3,2,2,3,19,9,0,41.489999999999995,0.8375057924076362,2.5775000000000006,7.642624129161196,0,0,0,2,0,2,0,0,0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.72806226,493.14381967600076,0.391304347826087,8,3,3,10,33,9,0,113.6,0.51917970894521,3.641700000000003,6.926613959594684,1,0,1,2,0,2,1,0,1
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,3.2433,440.1960740080007,0.2,8,2,5,8,33,6,0,99.16,0.4667032430058404,4.2173000000000025,7.19770034585112,0,1,1,2,2,4,0,1,1
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,3.192741081,452.1960740080007,0.15384615384615385,8,3,5,8,34,9,0,104.82,0.32700640037012135,4.820100000000003,4.738352931612937,0,0,0,3,2,5,0,0,0
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,1.28368559,371.1164437840005,0.375,9,1,4,10,26,6,0,120.55999999999999,0.7167032115900049,1.09568,7.39084706056005,0,1,1,0,3,3,0,1,1
COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,2.138776216,352.1820637560008,0.6666666666666666,5,0,3,6,24,6,0,49.85000000000001,0.8356642622952337,2.5802000000000005,7.016243349639691,0,2,2,1,0,1,0,2,2
CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,2.365560985,570.2339160600009,0.27586206896551724,13,3,6,13,42,12,0,155.68,0.2514867782064568,3.839000000000003,7.056492647035242,0,1,1,2,3,5,0,1,1
CC1(C)CC[C@]2(NC(=O)C(C)(F)F)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,2.160423509,554.3319997080011,0.7575757575757576,5,1,5,7,40,10,0,87.03,0.4100424722853117,6.729780000000008,9.019872526815236,5,0,5,0,0,0,3,0,3
Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,2.238813599,402.08074315600044,0.05555555555555555,7,4,4,10,28,6,0,101.74,0.4271167608646694,4.711020000000001,6.690669932632483,0,0,0,1,3,4,0,0,0
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,2.2125152,468.262422252001,0.5185185185185185,7,0,4,7,34,15,0,60.47000000000001,0.5333149482831275,3.3100000000000023,8.164566260030051,1,1,2,2,0,2,0,0,0
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,1.849836922,334.1429758160005,0.2631578947368421,6,2,4,6,25,4,0,85.17,0.768976962384502,2.639380000000001,7.615788153778757,0,1,1,1,2,3,0,1,1
CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,2.25299858,337.2014937360007,0.5555555555555556,7,0,5,7,25,6,0,64.14,0.7305102452454605,2.2504,7.889681817914808,1,1,2,0,3,3,1,0,1
Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,2.208589142,263.0858755400002,0.0,3,1,4,4,20,1,0,41.57,0.5287702296851626,3.917200000000002,6.852881432932933,0,0,0,1,3,4,0,0,0
Nc1c(F)ccc2cnc(-n3ccc4ccncc43)cc12,3.372693144,278.0967745720003,0.0,4,2,4,5,21,2,0,56.73,0.5434522473911588,3.295000000000001,6.930216687450883,0,0,0,1,3,4,0,0,0
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,1.435764759,285.1589602280005,0.4,6,2,3,6,21,4,0,73.91,0.8451673485107614,1.9352999999999994,7.45496449506771,0,1,1,0,2,2,0,1,1
Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,1.511656132,389.17756473200063,0.5555555555555556,8,1,5,10,28,5,0,79.18,0.859027005444107,1.7884999999999995,8.27411647339657,1,2,3,0,2,2,1,2,3
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,1.417438476,425.2003168020006,0.3,11,3,4,11,31,10,0,135.95,0.49641291938995996,1.7324,7.665729924330844,1,0,1,1,2,3,1,0,1
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,3.161600362,429.2164751040007,0.24,7,3,4,7,32,8,0,93.37,0.5423982723266364,4.354600000000003,7.1742732745363,0,1,1,2,1,3,0,1,1
Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,1.571266162,498.97426482400033,0.0,8,4,4,13,31,7,0,122.99,0.3364262515664886,5.154400000000002,6.653886270661875,0,0,0,2,2,4,0,0,0
Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,1.637629802,572.2235118800008,0.28125,8,4,6,10,42,9,0,123.10999999999999,0.2954746862253576,4.399020000000004,7.739655220565477,1,0,1,3,2,5,0,0,0
Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,1.027920136,383.16069154400054,0.3,9,0,5,9,29,5,0,113.41,0.5349503101515823,2.5358600000000004,7.432846259753134,1,0,1,0,4,4,1,0,1
O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,1.436051275,282.1116756880004,0.2,6,2,3,6,21,4,0,83.97999999999999,0.8988244233390735,2.0774,7.234752699152963,1,0,1,0,2,2,1,0,1
O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,1.027920136,478.1407828960007,0.24,8,3,5,9,34,8,0,109.36000000000001,0.33321279580181856,4.586400000000005,7.582656602144374,0,1,1,2,2,4,0,1,1
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,2.607477542,306.1592945760005,0.4117647058823529,6,1,4,6,23,4,0,83.17999999999999,0.7996787783250496,3.466380000000001,6.064017990838934,1,0,1,0,3,3,1,0,1
CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,2.281224324,311.10923316400044,0.35294117647058826,4,0,3,5,22,1,0,58.68,0.7589668453035159,3.1851800000000017,7.1898523631325215,0,1,1,1,1,2,0,0,0
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,2.322653372,486.18379507200075,0.19230769230769232,8,2,5,9,35,8,0,82.61999999999999,0.3516294002301692,5.103500000000004,6.360183335049609,0,1,1,2,2,4,0,1,1
CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.272106283,454.1753385640007,0.2,9,2,5,9,34,5,0,108.27,0.4752428318869178,2.7534,6.540780086875432,0,1,1,2,2,4,0,1,1
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,2.758344821,471.2270397880008,0.2962962962962963,8,3,5,8,35,6,0,102.48000000000002,0.5241842690990105,4.222600000000003,7.960478275882222,0,2,2,2,1,3,0,1,1
C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.712971095,456.19098862800075,0.2,9,2,5,9,34,6,0,108.27,0.4617792234701749,3.3062000000000014,7.245985145330945,0,1,1,2,2,4,0,1,1
CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,3.056338375,665.3238143600012,0.4166666666666667,12,2,7,13,49,11,0,138.66,0.21272385975321922,4.4153800000000025,8.545709534917282,0,3,3,2,2,4,0,3,3
CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,2.715512815,489.16124597200064,0.19230769230769232,8,3,5,10,36,5,0,106.23999999999998,0.42392584065443584,3.841000000000001,5.530202786850209,0,1,1,2,2,4,0,1,1
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,2.53699252,487.2132012920008,0.19230769230769232,9,3,5,10,36,8,0,98.41,0.33007410054157627,4.5092000000000025,6.295567166400955,0,1,1,2,2,4,0,1,1
C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,1.027920136,440.0775495960003,0.2777777777777778,7,0,4,12,30,3,0,76.80000000000001,0.5687121881319621,3.6281000000000034,6.877302273649165,0,1,1,1,2,3,0,0,0
COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,2.012702277,377.1487894680006,0.15,8,3,4,8,28,6,0,99.35000000000001,0.6365576381958459,2.8672000000000004,7.696247314354124,0,1,1,2,1,3,0,1,1
Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,3.177817186,426.1667459520006,0.2608695652173913,5,2,4,8,31,4,0,72.11,0.6316351656998663,5.112000000000004,5.745978028127707,0,1,1,2,1,3,0,1,1
O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,1.572453363,411.18075829200063,0.2608695652173913,8,1,6,8,31,6,0,90.52000000000001,0.5180452924743805,3.990400000000003,7.8396121036370365,2,0,2,1,3,4,2,0,2
Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,3.213226004,372.17502489200064,0.21739130434782608,4,1,5,5,28,4,0,44.81,0.5419235526913626,5.101100000000003,7.12218196551782,0,1,1,2,2,4,0,1,1
Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,3.329049083,300.1374965120005,0.10526315789473684,4,0,4,4,23,4,0,43.6,0.5769862203120764,3.8500200000000024,7.488812115685485,0,0,0,1,3,4,0,0,0
CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,1.409628842,416.2324595160008,0.4166666666666667,7,0,5,7,31,7,0,67.80000000000001,0.5121034058923827,3.392640000000002,6.422851071746023,0,1,1,0,4,4,0,1,1
Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,1.847547983,248.071640716,0.3076923076923077,3,1,3,4,17,2,0,34.03,0.7643251701388454,2.9075200000000008,7.559738949811395,0,1,1,1,1,2,0,0,0
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,2.012651661,386.1855093240007,0.22727272727272727,7,3,5,7,29,5,0,90.88,0.5544579653212733,3.792300000000002,6.899146685840662,0,1,1,2,2,4,0,1,1
Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,3.158486128,342.1014166200006,0.4666666666666667,5,0,2,7,22,10,0,43.18,0.8069874102043948,3.329620000000002,7.970224149511266,0,0,0,1,1,2,0,0,0
COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,1.848847759,337.15387484800056,0.2777777777777778,7,1,4,7,25,6,0,73.97,0.7936526324593675,2.4907000000000004,7.566622886023697,0,1,1,1,2,3,0,0,0
COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,1.027920136,387.1165240360005,0.16666666666666666,7,2,3,9,27,8,0,100.85000000000001,0.6700796222358171,3.6064700000000007,7.889832166372464,0,0,0,2,1,3,0,0,0
Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,2.804398773,337.1127943200006,0.5333333333333333,5,1,3,7,22,6,0,53.940000000000005,0.9279571077860514,3.2174200000000015,7.170241952660998,0,1,1,0,2,2,0,1,1
Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,3.182090951,446.20279920000087,0.3333333333333333,4,0,4,5,32,8,0,40.620000000000005,0.5352015525205441,5.276820000000005,7.303776552057931,0,1,1,2,1,3,0,1,1
CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,2.746011108,588.243121516001,0.4,10,1,6,12,42,11,0,104.24000000000001,0.35039631248008785,3.4324000000000012,7.537349962278263,0,2,2,1,3,4,0,2,2
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,2.077589539,312.1698592600006,0.5,7,1,3,7,23,5,0,88.91,0.9284511020269033,1.5447799999999996,7.220610985461008,0,1,1,0,2,2,0,1,1
CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,3.377908999,420.24129288400087,0.46153846153846156,5,0,4,5,31,7,0,49.85000000000001,0.7398713567441707,3.7721000000000027,8.177168700678449,0,2,2,2,0,2,0,2,2
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,2.808125186,449.1618526880007,0.25,7,3,4,8,32,6,0,101.21000000000001,0.6004395337150072,4.705000000000004,7.092543589980369,0,1,1,2,1,3,0,1,1
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,2.813429526,449.1618526880007,0.25,7,3,4,8,32,6,0,101.21000000000001,0.6004395337150072,4.705000000000004,7.092543589980369,0,1,1,2,1,3,0,1,1
O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,1.387407625,338.11029369600044,0.2857142857142857,7,2,3,10,24,3,0,83.04,0.88395267605883,1.5701999999999994,6.824953736763724,0,1,1,0,2,2,0,1,1
O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,1.573811169,388.1147103800004,0.21052631578947367,6,1,4,9,28,2,0,66.71000000000001,0.7341499073527642,2.6664000000000003,7.491548861190065,0,1,1,1,2,3,0,1,1
Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,1.442448411,352.13355400400053,0.21052631578947367,6,1,4,7,26,3,0,66.71000000000001,0.7680227480169095,2.0951199999999996,7.7961058124956395,0,1,1,1,2,3,0,1,1
O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,1.968889034,315.07745436800036,0.1875,5,1,3,6,22,2,0,62.300000000000004,0.9222968919232605,2.0482999999999993,7.578714111067362,0,1,1,1,1,2,0,1,1
C[C@@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@H](C)O1,3.278679765,323.1885290400007,0.38095238095238093,3,0,3,3,24,6,0,29.540000000000003,0.8552799974844061,3.844400000000003,8.020113480174656,0,1,1,2,0,2,0,1,1
CN1[C@@H]2CC[C@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,3.037733185,307.1936144200007,0.42857142857142855,2,0,4,2,23,5,0,12.47,0.8289288715670488,4.417800000000004,8.674784848981881,0,2,2,2,0,2,0,2,2
CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,3.158208351,438.234099328001,0.5384615384615384,4,0,4,5,31,4,0,40.620000000000005,0.6553462710696227,5.234900000000005,7.704320453388456,0,2,2,1,1,2,0,2,2
OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,2.518683676,331.14331016400047,0.10526315789473684,6,3,4,6,25,6,0,86.72,0.5227837700815181,3.165400000000001,5.921011863207651,0,0,0,1,3,4,0,0,0
Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,3.077711934,441.1390090680007,0.36363636363636365,6,0,4,8,30,7,0,62.220000000000006,0.5699622714233435,4.995320000000005,6.833078437558401,0,1,1,1,2,3,0,1,1
OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,2.476100913,273.06871952400047,0.5384615384615384,2,1,2,4,17,4,0,23.47,0.9133645489835573,3.340200000000002,6.212313110219607,0,1,1,1,0,1,0,1,1
CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,2.335620355,358.10751682400047,0.5333333333333333,5,0,3,9,24,4,0,49.330000000000005,0.7863869782258444,2.995440000000002,6.7580105762659235,0,1,1,0,2,2,0,1,1
COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,2.691249517,266.1055276880003,0.0625,4,2,3,4,20,4,0,54.12,0.7627249171540961,3.4288000000000016,7.355254301972088,0,0,0,2,1,3,0,0,0
c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,3.588207258,403.22597716800084,0.32,5,0,4,5,30,9,0,37.83,0.5351132303335624,4.208300000000003,7.466427069183089,0,1,1,2,1,3,0,1,1
COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,3.293540435,382.20565632400076,0.43478260869565216,4,0,4,5,28,6,0,32.78,0.8061040687047563,3.813200000000003,8.238400506708247,0,2,2,2,0,2,0,2,2
Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,1.719090867,445.1947743560008,0.4090909090909091,7,2,3,9,31,14,0,79.38000000000001,0.47688020477871773,4.351120000000003,6.041660634172336,0,0,0,1,2,3,0,0,0
OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,3.346903123,281.17796435600064,0.3684210526315789,2,1,3,2,21,5,0,23.47,0.9233950881555528,3.700400000000003,7.789965251699109,0,1,1,2,0,2,0,1,1
Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,1.470307565,405.1601031000006,0.2727272727272727,7,3,5,8,30,5,0,101.21,0.694015211972088,2.3686999999999996,7.591325330851419,1,1,2,1,2,3,1,1,2
CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,1.617409267,393.2164751040008,0.4090909090909091,7,3,4,7,29,9,0,95.95,0.6215697085717279,3.9273000000000016,7.112608012767461,0,1,1,1,2,3,0,1,1
Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,1.788882177,338.07251330800034,0.1111111111111111,5,0,4,6,24,5,0,69.13,0.5599077354538344,4.195620000000003,7.388664212631357,0,0,0,2,2,4,0,0,0
Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,2.761852694,447.1340659200006,0.3333333333333333,6,2,4,10,31,5,0,85.0,0.6187949864772858,4.876920000000004,7.864634806302531,0,1,1,1,2,3,0,1,1
O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,1.659098158,333.11134134000037,0.10526315789473684,6,1,4,6,25,3,0,71.53,0.7967931558540784,3.4437000000000015,7.209212752660527,0,1,1,2,1,3,0,1,1
O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,2.9013079,406.1504271920006,0.3333333333333333,5,2,3,8,29,6,0,67.43,0.7647640422926232,3.898900000000003,5.877216960823413,1,0,1,2,0,2,0,0,0
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,2.014996993,291.1041477840005,0.35714285714285715,5,1,3,6,20,2,0,62.300000000000004,0.9034566339582102,1.2187999999999999,7.592581560004312,0,1,1,1,1,2,0,1,1
