X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
CC(C)CC1CC(C)(O)CCO1,2.13768162,172.14632988,1.0,2,1,1,2,12,6,0,29.46,0.6896630978817451,1.9625,8.149218825603192,0,1,1,0,0,0,0,1,1
O=S(=O)([O-])[O-].OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO,1.9675127,406.04637046800053,1.0,12,8,0,15,23,16,0,242.1,0.11012948944914948,-3.731599999999998,1.8080720157785555,0,0,0,0,0,0,0,0,0
O=C([O-])CO.[NH4+],1.700915909,93.042593084,0.5,4,5,0,4,6,2,0,96.86000000000001,0.39606364460830273,-1.8952000000000002,7.708657787144104,0,0,0,0,0,0,0,0,0
OC(O)C(Cl)(Cl)Cl,1.7,163.919862376,1.0,2,2,0,5,7,2,0,40.46,0.4090497087455616,0.6672999999999998,6.223778982060129,0,0,0,0,0,0,0,0,0
CC(O)C(=O)N(C)C,1.630235126,117.078978592,0.8,3,1,0,3,8,5,0,40.54,0.5005725462192201,-0.5446000000000002,4.191006214074562,0,0,0,0,0,0,0,0,0
OCCCCCCO,1.626440718,118.099379688,1.0,2,2,0,2,8,7,0,40.46,0.5168950977146299,0.5313999999999999,7.935584368916183,0,0,0,0,0,0,0,0,0
CC(N)=O,1.5808,59.03711378,0.5,2,2,0,2,4,1,0,43.09,0.40103092275538377,-0.5084000000000002,7.215643391840941,0,0,0,0,0,0,0,0,0
COP(=O)(CCC(=O)NCO)OC,1.578490674,211.06095917800002,0.8333333333333334,6,2,0,7,13,9,0,84.86000000000001,0.4741174376481371,-0.0716,7.578955784323229,0,0,0,0,0,0,0,0,0
C#N,1.5682,27.010899031999998,0.0,1,0,0,1,2,0,0,23.79,0.3697970178104732,0.13978,6.6371108847888305,0,0,0,0,0,0,0,0,0
CNC.[Cl-].[H+],1.565718592,81.03452693599999,1.0,1,1,0,2,4,2,0,12.03,0.3268771967897884,-3.0478999999999985,6.548898907137779,0,0,0,0,0,0,0,0,0
CNC,1.558,45.057849223999995,1.0,1,1,0,1,3,2,0,12.03,0.39867093981547685,-0.1644000000000001,5.901240320267658,0,0,0,0,0,0,0,0,0
OCC#CCO,1.536339003,86.036779432,0.5,2,2,0,2,6,2,0,40.46,0.3701229528529767,-1.0256,7.447867715253992,0,0,0,0,0,0,0,0,0
NCCCCCCCCCCN,1.527701003,172.19394876799998,1.0,2,4,0,2,12,11,0,52.04,0.5227776638885138,2.0246,5.7093676680696275,0,0,0,0,0,0,0,0,0
CO,1.494280384,32.026214748,1.0,1,1,0,1,2,1,0,20.23,0.38528440447384316,-0.3915,7.93185480864119,0,0,0,0,0,0,0,0,0
CC(C)(CO)[N+](=O)[O-],1.4681,119.058243148,1.0,4,1,0,4,8,5,0,63.37,0.41181866175449156,0.033999999999999975,7.319639658763633,0,0,0,0,0,0,0,0,0
CC[N+]1(C)CCCC1.[Br-],1.410187143,193.046611612,1.0,1,0,1,2,9,3,0,0.0,0.4342103651449184,-1.7492999999999979,7.097843983038938,0,1,1,0,0,0,0,1,1
CN,1.368643478,31.042199159999996,1.0,1,2,0,1,2,1,0,26.02,0.3846582089034356,-0.4251,5.93107930412182,0,0,0,0,0,0,0,0,0
C1CN1,1.365835212,43.042199159999996,1.0,1,1,1,1,3,0,0,21.94,0.36613880903998086,-0.41040000000000004,7.813136384613562,0,1,1,0,0,0,0,1,1
CC=O,1.3561,44.026214748,0.5,1,0,0,1,3,1,0,17.07,0.35500761339323206,0.2052,7.149697432677925,0,0,0,0,0,0,0,0,0
C1CO1,1.356,44.026214748,1.0,1,0,1,1,3,0,0,12.53,0.3490215851763434,0.016600000000000004,7.107069740370233,0,1,1,0,0,0,0,1,1
N=C(N)N.[Cl-].[H+],1.352285044,95.02502487199999,0.0,3,5,0,4,5,0,0,75.89,0.21166569083577255,-4.04493,4.694454079473868,0,0,0,0,0,0,0,0,0
NC=O,1.346391976,45.021463716,0.0,2,2,0,2,3,0,0,43.09,0.35232551302052717,-0.8985000000000001,6.909742382605688,0,0,0,0,0,0,0,0,0
CCN,1.346,45.057849223999995,1.0,1,2,0,1,3,2,0,26.02,0.40623709538988323,-0.03499999999999981,6.538522706764825,0,0,0,0,0,0,0,0,0
CNN,1.336553508,46.05309819199999,1.0,2,3,0,2,3,2,0,38.05,0.27331503611697344,-0.9205000000000001,5.960366374988844,0,0,0,0,0,0,0,0,0
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],1.332024844,321.203112252001,1.0,1,0,0,2,18,16,0,0.0,0.4823098770629395,2.007599999999999,7.619425296492973,0,0,0,0,0,0,0,0,0
CC(O)C(=O)NCCO,1.307032379,133.073893212,0.8,4,3,0,4,9,6,0,69.56,0.4374582005328142,-1.5243,5.798648252861831,0,0,0,0,0,0,0,0,0
c1cn[nH]c1,1.28788965,68.037448128,0.0,2,1,1,2,5,0,0,28.68,0.4683433019217652,0.40969999999999995,7.28069824133927,0,0,0,0,1,1,0,0,0
O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2c1cccc2S(=O)(=O)O,1.2572,367.96605921600013,0.0,8,2,3,10,24,4,0,142.88,0.6366189031918951,0.9554000000000002,5.825013930241248,1,0,1,2,0,2,0,0,0
C#CCO,1.25131592,56.026214748,0.3333333333333333,1,1,0,1,4,1,0,20.23,0.37468964677801264,-0.3881000000000001,7.599019868776458,0,0,0,0,0,0,0,0,0
CC1CN1,1.2434,57.057849223999995,1.0,1,1,1,1,4,1,0,21.94,0.3875899677614259,-0.021899999999999975,7.628889378468243,0,1,1,0,0,0,0,1,1
C=CCN,1.2434,57.057849223999995,0.3333333333333333,1,2,0,1,4,2,0,26.02,0.42524030335523855,0.13110000000000005,6.362891546975884,0,0,0,0,0,0,0,0,0
NC1CC1,1.243394316,57.057849223999995,1.0,1,2,1,1,4,1,0,26.02,0.41922050844055486,0.10749999999999993,4.832658504450382,1,0,1,0,0,0,1,0,1
