X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
CC(C)N(CCC(c1ccccc1)c1cc(CO)ccc1O)C(C)C,0.382017042574868,341.23547923200084,0.45454545454545453,3,2,2,3,25,14,0,43.7,0.7414736336132447,4.525300000000004,8.247971292608888,0,0,0,2,0,2,0,0,0
O=C(OC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,0.633468455579587,484.1610768600908,0.4230769230769231,5,1,6,7,33,10,0,55.760000000000005,0.272537178442321,4.666800000000005,8.64160921320646,0,3,3,1,2,3,0,3,3
CC[C@H]1C2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,0.602059991327962,326.1994280720007,0.7,4,2,7,4,24,5,0,46.94,0.8220901729914653,1.5545,9.29932227474008,1,5,6,1,0,1,1,4,5
C=CC[N+]12CCC34c5ccccc5N5/C=C6/C7CC8C9(CC[N+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/C(CC31)/C(=C/CO)C2)C54)C69,-0.494850021680094,666.3922796801814,0.45454545454545453,6,2,11,6,50,8,0,46.94,0.31722605105983087,5.475600000000007,9.667160124057538,2,7,9,2,0,2,2,4,6
CCCS(=O)CCCN(CC)CC(O)COc1ccc(C#N)cc1,0.2552725051033061,352.1820637560008,0.6111111111111112,5,1,1,6,24,15,0,73.56,0.6239813927838276,2.16868,8.207331585911174,0,0,0,1,0,1,0,0,0
CNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1CCc1ccc(C(F)(F)F)cc1,0.989004615698537,512.2286775120008,0.3448275862068966,5,1,4,8,37,11,0,50.80000000000001,0.41821270308955394,5.7419000000000056,8.228318518500195,0,1,1,3,0,3,0,0,0
C=CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,0.3617278360175931,382.16747631200076,0.47058823529411764,8,4,2,9,26,11,0,113.76,0.44730480321838806,0.565700000000002,7.610272253047737,0,1,1,1,0,1,0,1,1
CCCCCC(O)/C=C/C1C(O)CC(=O)C1CCCCCCC(=O)O,0.380211241711606,354.2406241880009,0.8,5,3,1,5,25,16,0,94.83,0.34761269542578893,3.475100000000002,8.761370756171184,1,0,1,0,0,0,1,0,1
CCNC(=O)C1CC(n2ccc3c(NC(CC)Cc4sccc4Cl)ncnc32)C(O)C1O,-0.075720713938,477.16013843600075,0.5,8,4,4,10,32,12,0,112.30000000000001,0.3965142122792757,2.9983000000000017,8.465826685649644,1,0,1,0,3,3,1,0,1
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.6777807052660809,457.15841068400067,0.65,12,7,3,12,32,14,0,202.32,0.21751778620947723,-3.108019999999997,8.812941278593863,0,2,2,1,0,1,0,2,2
