X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1.0,357.2303938520009,0.5909090909090909,4,1,2,4,26,10,0,49.769999999999996,0.6005702926906202,3.342900000000002,8.225174680555352,1,0,1,1,0,1,1,0,1
CCC=CCC=CCC=CCC=CC=CC(O)CCCC(=O)O,1.0,318.2194948200008,0.45,3,2,0,3,23,15,0,57.53,0.37244046094131583,4.963500000000004,8.315070643359876,0,0,0,0,0,0,0,0,0
O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,1.0,366.1022721480005,0.2727272727272727,3,1,4,4,26,3,0,54.370000000000005,0.7288095712183459,5.348500000000004,7.621809506086276,2,0,2,2,0,2,1,0,1
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,1.0,538.1636943080007,0.5925925925925926,6,1,5,10,37,8,0,93.81,0.5437695227604175,4.9268000000000045,8.662854439176243,4,0,4,0,1,1,3,0,3
c1ccc(C(O[C@@H]2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1,0.9999,415.2147437880008,0.3333333333333333,4,0,5,4,31,7,0,30.930000000000003,0.5288211922147984,5.228400000000005,8.10211618335903,0,2,2,3,0,3,0,1,1
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,0.9996,413.1085644680005,0.16,4,0,6,5,30,2,0,42.68000000000001,0.37425065545818476,5.664500000000005,7.5916532084902295,0,1,1,3,2,5,0,1,1
Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,0.999165,516.2292039760009,0.3,6,2,4,7,37,13,0,81.22,0.31397854036955447,5.5949200000000054,8.125674086162004,0,0,0,3,1,4,0,0,0
CC(C)(C)OC(=O)NC[C@H]1CC[C@H](CNC(=O)c2cc(-c3ccccc3)nc3ccccc23)CC1,0.999,473.26784198000104,0.41379310344827586,6,2,4,6,35,6,0,80.32000000000001,0.4626793690181199,5.962700000000006,7.8286004955987085,1,0,1,2,1,3,1,0,1
CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,0.999,459.2409585360009,0.3448275862068966,5,2,4,5,34,8,0,70.0,0.4542991925826293,5.987600000000008,7.759502377850899,0,1,1,3,0,3,0,1,1
COc1ccc(C(F)(F)F)cc1COc1ccc(CCC(=O)O)cc1C,0.999,368.1235437480005,0.3157894736842105,4,1,2,7,26,9,0,55.760000000000005,0.7748981016511992,4.6186200000000035,7.404218467168347,0,0,0,2,0,2,0,0,0
CCc1ccc(C(=O)NC(=O)c2ccccc2O)cc1,0.999,269.10519334000037,0.125,4,2,2,4,20,5,0,66.4,0.8413474016803478,2.524800000000001,7.386700076775342,0,0,0,2,0,2,0,0,0
CN1CCN(c2ccc(NC(=O)c3cc(N(C)Cc4ccc(C(F)(F)F)cc4)ncn3)cc2)CC1,0.9986,484.21984414400083,0.32,7,1,4,10,35,8,0,64.6,0.5676790934842122,4.135900000000003,6.541224164174167,0,1,1,2,1,3,0,1,1
Cc1cccc(C(CC[C@@H](N)C(=O)O)(c2ccccc2)c2ccccc2)c1,0.99832,359.18852904000073,0.20833333333333334,3,3,3,3,27,9,0,63.32000000000001,0.6096665068921511,4.521520000000003,7.850990522349826,0,0,0,3,0,3,0,0,0
O=C(Nc1nc2ccccc2s1)NC12CC3CC(CC(C3)C1)C2,0.998,327.14053329200055,0.5555555555555556,4,2,6,5,23,2,0,54.02,0.859445709208196,4.386600000000003,7.9557500900982845,4,0,4,1,1,2,4,0,4
