smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CN(C)CCCNCCC(=O)NN	58862484	GAERAVMLDZLCIQ-UHFFFAOYSA-N	188.275	-1.092	50	10	AAGE	
C[C@H](C(=O)NN)N1CCC(O)CC1	82465920	JPRFTUKPARNZFK-ZCFIWIBFSA-N	187.243	-1.179	50	10	AAGE	
CC(C)(CN)C(=O)NN	167849701	UXJGRQVIHZQUFK-UHFFFAOYSA-N	131.179	-1.039	50	10	AAGE	
COc1cccc(B(O)O)c1N	204735250	MLMUSSPXURFNLO-UHFFFAOYSA-N	166.973	-1.043	50	10	AAGE	
NNC(=O)CC1CS(=O)(=O)C1	212759387	MLWJJPZBMAOGMK-UHFFFAOYSA-N	178.213	-1.589	50	10	AAGE	
Cc1cn(C[C@@H](O)C#N)c(=O)[nH]c1=O	238492608	QPUQMUBZOYUIHA-LURJTMIESA-N	195.178	-1.271	50	10	AAGE	
C[C@H]1CC[C@H]1NC(=O)C(=O)NN	306172133	FRARCMHAVVFFSJ-CRCLSJGQSA-N	171.200	-1.109	50	10	AAGE	
O=CNNC(=O)[C@H]1CCNC(=O)C1	306451402	WGYSYLHVRJWTRA-YFKPBYRVSA-N	185.183	-1.710	50	10	AAGE	
N[C@H]1CNNC(=O)[C@H]1Cl	306823921	VAWMCEQQZVMGRC-HRFVKAFMSA-N	149.581	-1.445	50	10	AAGE	
N#C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO	307933521	GQXJZINGMGHWDU-VANKVMQKSA-N	177.156	-3.054	50	10	AAGE	
COCC(=O)NN[C@@H](C)C(N)=O	308141506	HRAGPDOEARTAHY-BYPYZUCNSA-N	175.188	-1.873	50	10	AAGE	
NNC(=O)CCCCN1CC(O)C1	384181435	WHFJCNREJUYUBA-UHFFFAOYSA-N	187.243	-1.177	50	10	AAGE	
CN(N)C(=O)C[C]1C#CNN1	885194403	PMGXUNLPAPHKGA-UHFFFAOYSA-N	153.165	-1.691	50	10	AAGE	
C#CCCOC(=O)NCB(O)O	1887812201	RUHNAASWPAHAJI-UHFFFAOYSA-N	170.961	-1.252	50	10	AAGE	
CCON(C)CC(=O)NN	1928678046	LYYSKLUCRSTIII-UHFFFAOYSA-N	147.178	-1.140	50	10	AAGE	
Cn1ccc(C(=O)NNCCO)n1	1929832213	OJMOXYSNZOKMMK-UHFFFAOYSA-N	184.199	-1.353	50	10	AAGE	
N#C[C@@H](O)[C@H]1COCCN1	1953171695	OQQHMKPUEGIBTH-PHDIDXHHSA-N	142.158	-1.141	50	10	AAGE	
C[S@@](=O)C1CN(C(=O)NN)C1	1953327235	ZHMLZPZFACQFAM-LLVKDONJSA-N	177.229	-1.368	50	10	AAGE	
C[C@H](O)CCNC(=O)C#CB(O)O	2241467938	DRTRBCDUOHNQBF-LURJTMIESA-N	184.988	-2.111	50	10	AAGE	
C[C@H]1CN(C(=O)C#CB(O)O)C[C@@H]1F	2241468461	OUYUKISNLDGBPL-BQBZGAKWSA-N	198.990	-1.182	50	10	AAGE	
C#CC(=O)N1CC[C@@H](B(O)O)C1	2297009205	SWOVKRUUKPIPHS-ZCFIWIBFSA-N	166.973	-1.305	50	10	AAGE	
C[C@@H](CNCCCO)C(=O)NN	58844452	HPCJYINYSJCYIC-LURJTMIESA-N	175.232	-1.416	50	10	AAGE	
NNC(=O)OCCC[C@H](N)C(=O)O	78074025	KVWHQARMOZSAKQ-BYPYZUCNSA-N	191.187	-1.222	50	10	AAGE	
O=C1OC(=O)[C@H]2CNC[C@H]12	207563318	WGRNJBASWAHMQX-IMJSIDKUSA-N	141.126	-1.095	50	10	AAGE	
CN(C)CC(=O)NNC(N)=S	238288735	XWXLIGIQURLOLC-UHFFFAOYSA-N	176.245	-1.588	50	10	AAGE	
C[C@H](O)CN(C)C[C@H](C)C(=O)NN	251147018	XREQFURYKVDOJC-BQBZGAKWSA-N	189.259	-1.075	50	10	AAGE	
CC(=O)NNS(=O)(=O)NC(C)=O	306535011	LJKVLPAFNCMCSQ-UHFFFAOYSA-N	195.200	-1.992	50	10	AAGE	
NNC(=O)CN1CCOC[C@@H](O)C1	307112966	AJDXHJJIUOWIES-LURJTMIESA-N	189.215	-2.331	50	10	AAGE	
CN1CC[C@H](N(C)CC(=O)NN)C1	307411899	KJJMBZHQFUALOP-ZETCQYMHSA-N	186.259	-1.388	50	10	AAGE	
NNC(=O)C(=O)N1C[C@@H]2C(CO)[C@H]2C1	1929054635	LWYOZAPCKPBCMV-WHFBIAKZSA-N	199.210	-2.327	50	10	AAGE	
Cn1cncc1[C@](C)(N)B(O)O	1934646531	KLDSANVNZPMDPY-LURJTMIESA-N	168.993	-1.394	50	10	AAGE	
CN(CCC(=O)NN)Cc1ncno1	1955508123	WOSLCUPDWKVGSV-UHFFFAOYSA-N	199.214	-1.119	50	10	AAGE	
CN1CCN(CCC(=O)NN)[C@H]2C[C@H]21	1956637452	OAMIOQWCJNVEBO-SFYZADRCSA-N	198.270	-1.245	50	10	AAGE	
C[C@@H](O)CCNC(=O)C#CB(O)O	2241467939	DRTRBCDUOHNQBF-ZCFIWIBFSA-N	184.988	-2.111	50	10	AAGE	
CCN(C)C(=O)C#CB(O)O	2241468179	IOGPPINTDSGLNQ-UHFFFAOYSA-N	154.962	-1.520	50	10	AAGE	
C#CC#CCNC(=O)C#CB(O)O	2241469047	ZDUWYOCEQSCLEB-UHFFFAOYSA-N	174.952	-2.245	50	10	AAGE	
C[C@]1(NC(=O)C#CB(O)O)CCOC1	2241479279	VIINMQKCQQYHKD-QMMMGPOBSA-N	196.999	-1.703	50	10	AAGE	
Cn1nc(B(O)O)c(C(=O)NO)n1	2241584329	MJKUQVPWONVKAW-UHFFFAOYSA-N	185.936	-3.386	50	10	AAGE	
NC(=O)NC(=O)c1ccc(B(O)O)o1	2241584411	NGKKBTCEDAQWRJ-UHFFFAOYSA-N	197.943	-2.232	50	10	AAGE	
CN(CCC#N)CC(=O)NN	58839063	AEVYUJHZLFODOC-UHFFFAOYSA-N	156.189	-1.178	50	10	AAGE	
NNC(=O)[C@@H](N)CCC(N)=O	113490483	IWQDDELRRMFVAF-VKHMYHEASA-N	160.177	-2.431	50	10	AAGE	
COC(=O)[C@H](O)/C(C)=N/NC(N)=O	143830753	KXUARSOMLKXWNB-QKNIHBTKSA-N	189.171	-1.436	50	10	AAGE	
C[C@H](O)C(=O)O[Si](C)(O)O	196470833	GJWAUYCSBMAJMS-VKHMYHEASA-N	166.205	-1.536	50	10	AAGE	
COc1nc(B(O)O)cs1	200991155	IHSTXFGBXLTTDC-UHFFFAOYSA-N	158.975	-1.169	50	10	AAGE	
Cc1cnc(N)cc1B(O)O	238531479	RTUQNHQNJCDRMC-UHFFFAOYSA-N	151.962	-1.348	50	10	AAGE	
N#Cc1cc(N)ncc1B(O)O	238606481	IXOPTCAMPJHXCD-UHFFFAOYSA-N	162.945	-1.785	50	10	AAGE	
CC(=O)N1CSC[C@@H]1C(=O)NN	307199028	ZBPZTSZVZDPWIS-RXMQYKEDSA-N	189.240	-1.102	50	10	AAGE	
CC(=O)NNS(=O)(=O)N(C)C	307755048	CEICDPWSLQVCJT-UHFFFAOYSA-N	181.217	-1.567	50	10	AAGE	
